,epoch,train accuracy,val accuracy
0,1,0.15165655847875903,0.13909722222222223
1,2,0.23268387537458138,0.16305555555555556
2,3,0.27889509518773137,0.1617361111111111
3,4,0.3070727018332452,0.10208333333333333
4,5,0.3251104464128327,0.13506944444444444
5,6,0.3288259628944121,0.15097222222222223
6,7,0.3417207881632293,0.19993055555555553
7,8,0.3943184822845056,0.16243055555555555
8,9,0.4173187411863211,0.25381944444444443
9,10,0.4300896240965979,0.23111111111111113
10,11,0.44414813039837825,0.2545138888888889
11,12,0.47737432244843997,0.19888888888888887
12,13,0.4272609840472413,0.14444444444444443
13,14,0.4036134706063811,0.21284722222222222
14,15,0.41009221311475413,0.14548611111111112
15,16,0.4052350497972854,0.17326388888888888
16,17,0.42898515996827075,0.32590277777777776
17,18,0.36398634430636345,0.10305555555555555
18,19,0.31023323197602676,0.18333333333333332
19,20,0.3031705832451966,0.1592361111111111
20,21,0.29825007161114053,0.18083333333333332
21,22,0.2914938359333686,0.18888888888888888
22,23,0.2895513837475762,0.140625
23,24,0.2845971322492508,0.12180555555555556
24,25,0.27850261105235324,0.11944444444444445
25,26,0.2724163526793584,0.09166666666666666
26,27,0.25646565970386037,0.13430555555555557
27,28,0.24284026308831305,0.06902777777777779
28,29,0.1463036257271285,0.10798611111111112
29,30,0.12333022100299665,0.044444444444444446
30,31,0.12417647188436452,0.08395833333333334
31,32,0.13288342257183147,0.11666666666666667
32,33,0.13899928939714437,0.044444444444444446
33,34,0.14905239181209237,0.06770833333333333
34,35,0.1628189450026441,0.05659722222222222
35,36,0.16942162986955756,0.09097222222222222
36,37,0.18387881742464304,0.11520833333333334
37,38,0.1853826513749339,0.13430555555555557
38,39,0.1970993356689582,0.0642361111111111
39,40,0.20567614687995772,0.14229166666666668
40,41,0.2131884309448264,0.08368055555555555
41,42,0.21797260598448792,0.08472222222222223
42,43,0.22436527741054116,0.06840277777777778
43,44,0.23470000440683944,0.11694444444444445
44,45,0.2347736812533051,0.15590277777777778
45,46,0.2395365106645514,0.1290277777777778
46,47,0.23688620989776132,0.14305555555555555
47,48,0.2402739676978671,0.14479166666666668
48,49,0.24334429534637758,0.1398611111111111
49,50,0.24784271439273753,0.09305555555555556
