,epoch,lr,train loss,val loss
0,1,0.0001,2.566863658607647,3.058491053788558
1,2,0.0001,2.400257941215269,2.606557265571926
2,3,0.0001,2.26943197301639,2.8806383195130723
3,4,0.0001,2.1451829082222393,2.8305874285490615
4,5,0.0001,2.0282664311829435,2.9276354727537734
5,6,0.0001,1.932604068709958,2.267556693242944
6,7,0.0001,1.826225035934038,2.4318644585816758
7,8,0.0001,1.7279141538886613,2.42674894436546
8,9,0.0001,1.645349524995332,2.40307907436205
9,10,0.0001,1.5567495380678484,2.119678082673446
10,11,0.0001,1.4750288545444448,2.5017304524131445
11,12,0.0001,1.3336136841004895,2.1196442272352134
12,13,0.0001,1.2281207689034042,2.1350205255591352
13,14,0.0001,1.174226980055532,2.0452589625897617
14,15,0.0001,1.1148335453002685,2.1738774309987607
15,16,0.0001,1.0661656375854247,2.386203081711479
16,17,0.0001,1.022447399234259,2.404767710229625
17,18,0.0001,0.959366258113615,2.3625559703163477
18,19,0.0001,0.919356773296992,2.3456661545712016
19,20,1e-05,0.8673606341884982,2.451711011969525
20,21,1e-05,0.6758759693112425,2.1065747064092886
21,22,1e-05,0.6168149570303578,2.1130628793135933
22,23,1e-05,0.5918643809454416,2.109186421269956
23,24,1e-05,0.5715562842225516,2.1193206724913223
24,25,1e-05,0.5669960430873338,2.173488466635994
25,26,1e-05,0.5558859173969556,2.143140523330025
26,27,1e-05,0.5397058081242346,2.110765519349471
27,28,1e-05,0.5321906643208637,2.1074367657951685
28,29,1e-05,0.5253595988596639,2.162925238194673
29,30,1e-05,0.5084513182281166,2.221272209416265
30,31,1e-05,0.5018179384610986,2.219679381536401
31,32,1e-05,0.4857723647227851,2.236108862835428
32,33,1e-05,0.47648968715821544,2.211028492969015
33,34,1e-05,0.4683489102509714,2.2614180886227153
34,35,1e-05,0.46524497546175475,2.2845038953034775
35,36,1e-05,0.4423971777000735,2.3922154436940732
36,37,1e-05,0.4409532037473494,2.333505692689315
37,38,1e-05,0.43000474588204457,2.319656620854917
38,39,1e-05,0.41482467356548514,2.3458705674047056
39,40,1.0000000000000002e-06,0.4119714735656656,2.431137520333995
40,41,1.0000000000000002e-06,0.3789728024313527,2.3005892297495967
41,42,1.0000000000000002e-06,0.3776934541841989,2.2755275861076685
42,43,1.0000000000000002e-06,0.38249819845922534,2.3023481369018555
43,44,1.0000000000000002e-06,0.3717315744168015,2.2375683706739675
44,45,1.0000000000000002e-06,0.367342262178339,2.2870236479717754
45,46,1.0000000000000002e-06,0.367713803004834,2.2974231243133545
46,47,1.0000000000000002e-06,0.37120768692224254,2.3585441786309946
47,48,1.0000000000000002e-06,0.3668114983586855,2.290760356446971
48,49,1.0000000000000002e-06,0.36551640631370647,2.445552867391835
49,50,1.0000000000000002e-06,0.3603976588415843,2.3123616498449575
